0 2.507836 -1.788e-16 -1.035066 -1.036033 0.000000 2.508e-05
250 83.449316 3.696e-14 -0.749560 -0.874074 0.000000 8.094e-04
500 142.010357 1.123e-13 -0.556464 -0.801489 0.000000 5.856e-04
750 187.120261 2.055e-13 -0.411097 -0.769983 0.000000 4.511e-04
1000 222.973256 3.042e-13 -0.303282 -0.767654 0.000000 3.585e-04
1250 251.966123 4.094e-13 -0.227573 -0.789583 0.000000 2.899e-04
1500 275.697402 4.993e-13 -0.178864 -0.831452 0.000000 2.373e-04
1750 295.306500 5.631e-13 -0.152487 -0.889183 0.000000 1.961e-04
2000 311.633472 6.179e-13 -0.144406 -0.959178 0.000000 1.633e-04
2250 325.312130 6.288e-13 -0.151241 -1.038398 0.000000 1.368e-04
2500 336.829543 6.300e-13 -0.170200 -1.124348 0.000000 1.152e-04
2750 346.565859 5.994e-13 -0.199001 -1.215005 0.000000 9.736e-05
3000 354.821762 5.844e-13 -0.235781 -1.308746 0.000000 8.256e-05
3250 361.837848 5.263e-13 -0.279028 -1.404281 0.000000 7.016e-05
3500 367.808585 4.627e-13 -0.327513 -1.500589 0.000000 5.971e-05
3750 372.892555 3.758e-13 -0.380241 -1.596871 0.000000 5.084e-05
4000 377.220095 2.592e-13 -0.436399 -1.692507 0.000000 4.328e-05
4250 380.899079 1.593e-13 -0.495331 -1.787026 0.000000 3.679e-05
4500 384.019358 2.677e-14 -0.556499 -1.880071 0.000000 3.120e-05
4750 386.656207 -1.206e-13 -0.619466 -1.971384 0.000000 2.637e-05
5000 388.873024 -2.775e-13 -0.683873 -2.060784 0.000000 2.217e-05
5250 390.723473 -4.488e-13 -0.749429 -2.148151 0.000000 1.850e-05
5500 392.253188 -6.168e-13 -0.815890 -2.233413 0.000000 1.530e-05
5750 393.501147 -8.087e-13 -0.883060 -2.316539 0.000000 1.248e-05
6000 394.500786 -1.009e-12 -0.950774 -2.397530 0.000000 9.996e-06
